country,country_risk,asn_reputation_risk,device_type,is_new_country,is_new_device,round_trip_time_ms,hour_of_day,is_attack_ip,login_successful,is_account_takeover
United Kingdom,0.06,0.369102528391346,desktop,0,0,71.17965206752112,4,0,1,1
Canada,0.05,0.25388748686730167,mobile,0,1,57.90712022956429,19,1,0,1
Netherlands,0.08,0.1543814734578907,desktop,0,0,115.6594461901758,3,0,1,0
Germany,0.05,0.6265005030755262,tablet,0,0,436.85367821518514,0,1,0,1
United States,0.05,0.05457834924624012,tablet,0,1,95.63696215611736,13,0,1,0
Germany,0.05,0.10665536479892411,desktop,0,0,93.42579175508541,3,0,1,0
Germany,0.05,0.27119588855208887,desktop,0,0,52.8922385019192,16,0,1,0
Japan,0.05,0.3973232965943038,desktop,0,0,326.09248696468933,10,1,0,1
Australia,0.06,0.5081920176285637,tablet,0,0,174.69344191108013,21,0,1,0
Netherlands,0.08,0.35544222573509165,desktop,0,0,132.4752349823244,12,0,1,0
Japan,0.05,0.297030182502589,mobile,0,1,64.76652939481136,4,0,1,0
Canada,0.05,0.4418873500242679,desktop,0,0,377.92420004429874,12,0,1,0
Netherlands,0.08,0.033067488837733576,mobile,0,0,96.42415548529281,15,0,1,0
United Kingdom,0.06,0.0853388756592774,desktop,1,0,83.11496801526134,21,0,1,0
United States,0.05,0.05034128755016321,mobile,1,0,100.43136264584727,3,0,1,1
United States,0.05,0.19428707142726728,mobile,0,0,40.38654891092859,17,1,1,1
Japan,0.05,0.28927025071035134,desktop,0,0,111.06959439949384,14,0,1,0
France,0.07,0.06819328805698066,desktop,0,0,46.38677464966784,22,0,1,0
United Kingdom,0.06,0.2800986043014698,desktop,0,0,99.92108858780287,14,0,1,1
France,0.07,0.1963884770938138,desktop,0,0,59.8963007644483,23,0,0,1
United Kingdom,0.06,0.17199819989966447,mobile,0,0,55.715387608165486,13,0,1,0
Japan,0.05,0.2114611960087147,desktop,0,0,137.05446140260185,1,0,1,0
France,0.07,0.17818362180762862,tablet,0,0,71.17347537803765,2,0,0,1
Canada,0.05,0.16026302550146612,desktop,0,0,43.12617993823418,2,0,0,0
Germany,0.05,0.03992633857912305,mobile,0,0,103.66609541845015,12,0,1,1
Australia,0.06,0.06561096544422085,tablet,0,0,48.07544570438371,19,0,1,1
Canada,0.05,0.040078877895322176,mobile,0,0,118.6599488531573,13,0,1,1
United States,0.05,0.0966595425997316,tablet,0,0,73.28289689477168,22,0,1,0
United Kingdom,0.06,0.2990202459984446,desktop,0,0,47.188974795645656,12,0,1,0
Romania,0.4,0.06924035606041722,mobile,1,0,98.24524044765886,16,0,1,1
Brazil,0.2,0.12830382116201006,desktop,0,0,88.4481791409966,4,0,1,0
Japan,0.05,0.23610464841427353,desktop,0,0,35.05167489788083,0,0,1,1
Germany,0.05,0.18684235762800744,mobile,1,0,72.08200733990556,17,0,1,1
Indonesia,0.3,0.11989826135709708,mobile,0,0,81.82636019177083,2,0,1,0
Netherlands,0.08,0.26519758448488295,tablet,1,0,80.17283852979915,23,0,1,1
Japan,0.05,0.23695564525003943,mobile,0,0,69.08537325877542,23,0,0,0
France,0.07,0.3442873292346706,mobile,1,0,95.65457323789197,5,0,1,0
Germany,0.05,0.10177396071294524,mobile,1,0,89.93879882367038,2,0,1,0
United States,0.05,0.0902362642634884,mobile,0,0,74.50756935457783,21,0,1,0
Brazil,0.2,0.2003778425111406,desktop,0,0,67.84828000469236,21,0,1,1
France,0.07,0.09983393685916533,desktop,0,0,77.62123704040465,12,0,1,0
United Kingdom,0.06,0.011850149844198132,desktop,0,0,59.662608280496265,8,0,1,0
Germany,0.05,0.24422937834545244,mobile,0,0,51.527959169781674,10,0,1,1
Australia,0.06,0.4372596995785592,mobile,0,0,361.7122247585463,22,1,1,1
United Kingdom,0.06,0.1253839421202422,mobile,0,0,71.16460536935612,13,0,1,0
Netherlands,0.08,0.16768035598914177,tablet,0,0,54.586864819285324,4,1,1,1
Japan,0.05,0.10968153176172928,mobile,1,1,69.71530905073426,16,0,1,1
Japan,0.05,0.4081567913308515,mobile,0,0,257.52612483414714,23,1,1,1
Canada,0.05,0.021576790659068427,mobile,0,0,68.5475343410976,1,1,1,1
Australia,0.06,0.37904351021931,mobile,0,0,200.03263305348923,12,1,1,1
Australia,0.06,0.352507151553707,desktop,0,1,68.03020275546383,12,0,0,1
Australia,0.06,0.1784444645258701,tablet,0,0,116.42850229636568,18,0,1,0
United States,0.05,0.11825968514650487,mobile,0,0,131.66057234634528,13,0,1,0
Canada,0.05,0.3262609008020116,mobile,1,0,62.53112537813903,5,1,1,1
United States,0.05,0.3070416055851697,desktop,0,0,95.08104146425535,14,0,1,0
France,0.07,0.1979258023140915,desktop,0,0,153.2241115284478,3,0,0,1
Canada,0.05,0.03545177342881064,mobile,0,0,49.09600585993885,12,0,1,0
United Kingdom,0.06,0.46934052141190036,tablet,0,0,396.9909778797437,5,1,0,1
United States,0.05,0.15117793151367256,tablet,0,0,40.07480016286378,23,0,1,0
Australia,0.06,0.22572253157712868,mobile,0,0,74.46792910585289,17,0,1,0
United Kingdom,0.06,0.02434087304065227,mobile,0,0,70.1735530319104,17,0,1,0
India,0.18,0.025929829133836027,desktop,0,0,40.55037723114837,0,0,1,0
Australia,0.06,0.03652909234652645,mobile,1,0,107.9027456929228,10,0,1,0
Canada,0.05,0.22467888373587977,desktop,0,0,77.60814705068357,16,0,1,0
Australia,0.06,0.36692840860589093,mobile,0,0,53.27472385781971,11,0,1,0
United States,0.05,0.027114677592573785,desktop,1,0,82.68212068892069,2,1,0,1
Romania,0.4,0.17728938017993137,tablet,0,0,101.12345770000522,12,0,1,1
France,0.07,0.4038399271397261,desktop,0,0,276.82648547427743,15,1,0,1
Netherlands,0.08,0.01565585888703597,desktop,0,0,24.48574162567404,17,0,1,0
United States,0.05,0.4535343365932082,mobile,1,1,199.73057344280943,7,1,0,1
France,0.07,0.1185467679659157,mobile,0,0,56.32279318282059,13,0,0,0
France,0.07,0.4499897782082538,mobile,1,0,202.88454815774685,21,1,0,1
Russia,0.6,0.12852191539796373,mobile,1,0,64.73832192978651,22,0,0,1
Australia,0.06,0.23920738317545265,mobile,0,0,82.12998358201371,7,0,1,0
France,0.07,0.1759469653140199,desktop,0,0,69.03112075348407,16,0,1,0
Germany,0.05,0.10304646133103439,mobile,0,0,42.9018986886492,21,0,1,0
Canada,0.05,0.08694581055065174,tablet,0,0,74.49121175213904,1,0,1,0
France,0.07,0.13179581372921528,mobile,0,1,46.33198117390974,13,0,0,1
France,0.07,0.21394555918682936,desktop,0,0,45.54523304527906,18,0,1,1
United States,0.05,0.38757340638676113,mobile,0,0,222.2157186061513,5,1,1,1
Netherlands,0.08,0.1444019613529453,desktop,0,0,48.67355891043929,7,0,1,0
Vietnam,0.35,0.47471307595322937,tablet,0,0,298.12584501888455,20,0,0,1
United Kingdom,0.06,0.3553985587626106,desktop,0,0,64.25134798876623,4,1,1,1
Australia,0.06,0.1998693223304727,desktop,0,0,81.40603934348225,7,0,1,0
United States,0.05,0.16248854365017887,desktop,0,0,42.480074655656665,19,0,1,0
Japan,0.05,0.27016235080752105,mobile,1,0,67.48513654079278,14,0,1,0
Germany,0.05,0.05792362119743838,mobile,0,0,62.27333097914874,15,0,1,0
Japan,0.05,0.053843768896900096,mobile,0,0,79.08243804120808,13,0,1,0
Japan,0.05,0.14158103797907415,desktop,0,0,80.42105316199812,9,0,1,0
Netherlands,0.08,0.16890801594537558,mobile,0,0,77.8433325233785,18,0,1,0
United States,0.05,0.23352414409379132,desktop,0,0,52.11251264006761,6,0,1,0
Brazil,0.2,0.12321758374833955,desktop,0,1,74.33944450566116,6,0,0,0
Germany,0.05,0.4313305946415822,mobile,0,0,164.4600386428328,10,1,1,1
United States,0.05,0.04475359218261859,desktop,0,0,116.74243516095143,3,1,1,1
Australia,0.06,0.24098872141248778,mobile,0,0,76.60108482018413,15,0,1,0
Canada,0.05,0.14733438850669822,desktop,0,0,75.7760879148355,21,0,1,0
Netherlands,0.08,0.38625237720837546,mobile,0,0,312.2602621784411,17,1,0,1
Netherlands,0.08,0.5033772998025556,desktop,0,0,281.5639080063335,7,1,1,1
Germany,0.05,0.05591649038848132,desktop,0,0,80.68705295943536,2,0,1,0
Romania,0.4,0.021451406720865786,desktop,0,0,71.69668834713559,14,0,1,1
Germany,0.05,0.11936618695253047,mobile,0,0,71.4264053945811,12,0,1,0
France,0.07,0.18773467221844764,desktop,1,0,39.893125267580096,20,1,1,0
Germany,0.05,0.0748870770651364,desktop,0,0,55.42739527591793,11,0,1,0
Russia,0.6,0.11616061937045458,desktop,0,1,66.93871466075313,1,0,1,1
United Kingdom,0.06,0.15856157062379633,desktop,0,0,112.23431823951469,21,0,1,0
United States,0.05,0.3786280748832579,desktop,0,0,444.9036607499797,7,1,0,1
France,0.07,0.052933163298621855,mobile,0,0,51.14017841410317,18,0,1,1
Pakistan,0.45,0.09327053481319011,desktop,0,0,37.92557128512588,2,0,1,0
Vietnam,0.35,0.06464093346133225,desktop,0,0,82.59035750492512,23,0,1,1
Japan,0.05,0.20199319551906456,mobile,0,0,111.62611436246911,22,0,1,1
Vietnam,0.35,0.3541883512354908,desktop,0,0,83.61157456763581,1,0,1,0
Vietnam,0.35,0.17385774566435133,mobile,0,0,90.19974638157032,22,0,1,0
France,0.07,0.10848730465279299,mobile,0,1,51.35629936126044,19,0,1,0
Germany,0.05,0.04529441511877802,mobile,0,0,83.87275914381003,21,0,1,0
Netherlands,0.08,0.20973888066881013,desktop,0,0,56.24046137476293,5,0,1,0
Japan,0.05,0.12243190823070285,desktop,0,0,75.25721188627458,8,0,1,0
Canada,0.05,0.0934180883170924,desktop,0,0,87.86907078255669,12,0,1,0
United States,0.05,0.12595501878307083,desktop,0,0,66.54146435873355,11,0,1,0
Japan,0.05,0.09475573004759405,mobile,1,0,98.20504840425961,17,0,1,0
Germany,0.05,0.0740360630575223,desktop,0,0,69.59848391184846,21,0,1,0
Russia,0.6,0.09446245272729666,desktop,0,0,81.10699426288865,20,1,1,1
Germany,0.05,0.11249827453574784,mobile,0,0,142.85644021562345,21,0,1,0
United Kingdom,0.06,0.10038905551221676,mobile,1,0,87.7174555162713,7,0,1,0
Netherlands,0.08,0.29738352955278574,tablet,0,1,56.696643141873516,0,0,1,0
United Kingdom,0.06,0.13740119941266055,desktop,0,0,62.29202819132556,4,0,1,0
United Kingdom,0.06,0.04891357323889656,mobile,0,1,100.04146514644015,4,1,0,0
Australia,0.06,0.06601457617466272,mobile,0,0,106.15998027858548,18,0,1,0
Nigeria,0.55,0.08329504192325682,mobile,1,0,72.76537190184588,9,1,0,1
United Kingdom,0.06,0.7810387802159745,desktop,0,1,167.43498894076188,9,1,1,1
Germany,0.05,0.10415129332634557,desktop,0,0,52.84754569213219,18,0,1,0
Netherlands,0.08,0.16613030640534932,desktop,0,0,78.51272939799571,1,0,1,0
Indonesia,0.3,0.02453991452499077,mobile,0,0,90.29954158004756,9,0,1,0
France,0.07,0.12650468206232635,desktop,0,0,104.7597733603001,9,0,1,0
United Kingdom,0.06,0.3916949557087078,desktop,0,0,169.2714496355123,4,1,1,0
United States,0.05,0.10289093180789458,desktop,0,0,99.98442832988276,7,0,1,1
Germany,0.05,0.4164736220225267,mobile,0,0,328.4696282273645,19,1,1,0
United Kingdom,0.06,0.057404058842189486,desktop,1,0,31.88879097632326,16,1,1,1
Japan,0.05,0.1517110814040506,desktop,0,0,73.5629449629119,8,0,1,0
United Kingdom,0.06,0.1421744066969087,mobile,0,0,96.08390168357603,20,0,1,1
France,0.07,0.0761075392662362,mobile,1,0,44.97027025510143,2,0,1,1
Japan,0.05,0.20100067327234988,mobile,0,0,61.880587846591844,21,0,0,1
Australia,0.06,0.27565950130553946,desktop,0,0,89.66430363557194,15,0,1,0
United Kingdom,0.06,0.2533294545901939,desktop,0,0,61.37764178606535,5,0,0,0
Netherlands,0.08,0.4569671712084842,desktop,0,0,165.57297558505059,20,1,0,1
Japan,0.05,0.16578094981630073,desktop,0,1,79.62136727212716,3,1,1,1
Japan,0.05,0.33411263040632533,desktop,0,0,48.93878541975897,13,0,1,0
United Kingdom,0.06,0.14887095507164205,desktop,0,0,50.73352997555574,14,0,1,0
United Kingdom,0.06,0.17513942823944506,desktop,0,1,86.82886866094023,23,0,1,0
India,0.18,0.06803997154786477,desktop,0,1,102.7325888536418,5,0,1,0
Canada,0.05,0.13326237701232643,mobile,0,0,84.7310548006957,20,0,1,0
Germany,0.05,0.3449993303435376,desktop,0,0,118.68018523197544,3,0,1,1
France,0.07,0.1910356289824521,tablet,0,0,85.36081532051145,5,0,0,1
Japan,0.05,0.3443438961201169,mobile,0,0,140.6762644879244,0,0,1,0
Romania,0.4,0.15189896641263595,desktop,0,0,75.41651984548601,7,0,1,0
Germany,0.05,0.2939822257118014,desktop,0,0,80.51496341611656,17,0,1,0
India,0.18,0.2408763027166245,tablet,0,0,84.87002497916436,4,0,1,0
United States,0.05,0.07051879514726664,tablet,0,0,59.156598102326775,1,0,1,0
Australia,0.06,0.03020790937287153,desktop,0,0,56.16962432754544,13,1,0,1
Australia,0.06,0.060446313771425605,desktop,0,0,53.78369943959344,0,0,1,0
United States,0.05,0.02495293369722672,tablet,0,1,60.672721175955544,15,0,1,0
United Kingdom,0.06,0.21496618274851015,mobile,1,0,152.13430629781928,18,1,0,1
Canada,0.05,0.2351579696797035,mobile,0,0,139.42374219754754,17,0,1,0
Romania,0.4,0.11855487488950366,desktop,0,0,65.70829666493604,2,0,1,1
Australia,0.06,0.19113139764044834,mobile,0,1,63.61273315580352,12,0,1,0
India,0.18,0.253828606472145,mobile,0,0,34.76465493771427,7,0,1,0
Netherlands,0.08,0.16290537052951268,desktop,0,0,52.039798553698134,2,0,1,0
France,0.07,0.10126125090995504,mobile,1,0,55.51937737145677,3,0,1,0
Netherlands,0.08,0.07214679645467945,desktop,1,0,63.18775235178376,6,0,1,0
United States,0.05,0.4099815502820058,desktop,0,0,195.72780671591607,18,1,1,1
United Kingdom,0.06,0.13309304333379465,mobile,0,0,79.45299557462002,11,0,1,0
Netherlands,0.08,0.2701717111090109,mobile,0,0,96.66313352551123,2,0,1,0
Netherlands,0.08,0.14112879236111123,tablet,1,0,57.126679248479775,6,0,0,1
Germany,0.05,0.36184951510256536,mobile,0,0,121.86625102995596,4,0,1,0
France,0.07,0.14529879940165963,desktop,0,0,83.17804387598406,1,0,1,0
Australia,0.06,0.3810091102329015,desktop,1,0,323.51846096357497,21,1,1,1
Netherlands,0.08,0.19543533139784003,desktop,0,0,63.190792196194835,21,1,0,1
Australia,0.06,0.028879239242642036,desktop,0,0,89.2339042027695,1,0,1,0
Canada,0.05,0.10169171753000684,mobile,0,0,86.37762327415037,12,0,1,0
Canada,0.05,0.16740300797553392,desktop,0,0,123.18100449865594,20,1,1,0
Canada,0.05,0.18904655008522708,desktop,0,0,92.6142046552213,14,0,1,0
Australia,0.06,0.35308711781009006,desktop,0,1,99.3648055822772,8,0,1,0
Netherlands,0.08,0.32368145345520205,desktop,0,0,61.24279002578118,2,0,1,0
France,0.07,0.2023440775653563,desktop,0,0,112.00831182605536,2,0,1,1
Germany,0.05,0.11707997871380572,mobile,0,0,47.15056745890615,21,0,1,0
Germany,0.05,0.04230166030545541,desktop,0,0,60.3062673915899,15,0,1,0
Japan,0.05,0.08945085743234199,tablet,0,0,81.32515834032597,20,0,1,0
Netherlands,0.08,0.08863914422222384,desktop,0,0,49.23244200034188,23,0,1,0
United States,0.05,0.09557264733739357,mobile,0,0,53.35070871960144,9,0,0,1
United States,0.05,0.12171358499896627,mobile,0,0,53.360042374923786,16,0,1,0
Australia,0.06,0.060378712514701394,mobile,0,0,84.14424373304001,4,0,0,1
United Kingdom,0.06,0.21049701374186022,mobile,0,0,69.71156110743166,16,0,1,0
Netherlands,0.08,0.027219153208103777,desktop,0,0,103.26579868035046,19,0,1,0
Germany,0.05,0.07988205245097525,desktop,0,1,142.33829953009223,12,0,0,1
United Kingdom,0.06,0.14690582601506827,mobile,0,0,81.01651783835719,13,0,1,0
India,0.18,0.054221671146282284,desktop,0,0,61.61976556407256,10,0,1,1
United Kingdom,0.06,0.03461863053578105,mobile,0,0,83.8405332739541,19,0,1,0
Germany,0.05,0.4612886183187437,mobile,0,0,421.4466967939962,12,0,1,0
United Kingdom,0.06,0.1988932326257602,desktop,0,0,72.07573951653303,11,0,1,0
United Kingdom,0.06,0.09908891257819329,desktop,0,0,174.47616144031107,9,0,1,0
United States,0.05,0.3329596204476619,mobile,0,0,68.64280470474834,21,0,0,0
United States,0.05,0.3353030419904087,mobile,0,0,81.93512526164089,2,0,1,0
United Kingdom,0.06,0.16364473074262492,mobile,0,1,69.64882993195049,17,0,1,0
United States,0.05,0.24338341879586356,mobile,0,0,63.85699936325262,10,0,1,1
Australia,0.06,0.08713569197078103,desktop,0,0,87.2097138027899,8,0,1,0
Japan,0.05,0.20702291648632123,desktop,0,0,47.237203211919066,10,0,1,0
Canada,0.05,0.2980360016487217,desktop,0,0,69.53529861721354,18,1,1,0
Germany,0.05,0.13794649158633618,desktop,0,0,45.827910050084284,8,0,1,0
France,0.07,0.45594940563623043,mobile,0,0,192.37639885013516,7,1,1,1
Nigeria,0.55,0.09115187565663764,mobile,1,0,104.11775747482575,23,0,1,1
Netherlands,0.08,0.11539098352665206,mobile,0,0,56.32508147579706,10,0,1,1
United States,0.05,0.10640857948781586,desktop,0,0,38.49232589961193,19,0,1,0
United Kingdom,0.06,0.12852974649403484,desktop,0,0,87.49914919344262,9,0,1,0
Germany,0.05,0.04479477814051619,desktop,0,0,72.58069974197781,23,1,1,0
Germany,0.05,0.1652354114128209,desktop,0,0,161.63157743155838,10,0,1,1
Australia,0.06,0.22734218111808124,desktop,0,0,120.3744380524047,8,0,1,0
Canada,0.05,0.11507217144564863,desktop,0,0,92.04726026057371,17,0,1,0
United States,0.05,0.47665861215739913,desktop,0,0,150.98185901818746,19,1,1,1
Canada,0.05,0.23070583943638573,desktop,0,0,67.25167499919502,5,0,1,0
France,0.07,0.017702285033827533,mobile,0,0,81.91958595725711,22,0,1,0
United States,0.05,0.16672490791432365,mobile,0,0,83.45115798698549,7,0,1,0
Netherlands,0.08,0.4621377209880846,desktop,0,0,272.3842316212473,21,1,0,1
United States,0.05,0.06777131851742406,mobile,0,0,45.72196383752969,12,0,1,0
India,0.18,0.027760642798298582,desktop,0,0,144.73137638179008,13,0,0,1
United States,0.05,0.45348680493276605,desktop,0,0,163.43271529649456,6,1,0,1
Netherlands,0.08,0.20325780248014202,mobile,1,1,85.4957205250876,3,0,1,1
Brazil,0.2,0.26746312902623515,desktop,1,0,54.59256520521621,3,0,1,1
Indonesia,0.3,0.02246041921225484,mobile,1,0,118.88647568193942,2,0,1,0
Netherlands,0.08,0.22241984205682572,desktop,0,0,106.06243000697356,16,0,1,0
Netherlands,0.08,0.11885023414275943,desktop,0,0,75.2763947148038,14,0,1,0
Australia,0.06,0.1677880908940437,desktop,0,0,79.32390139099718,14,0,1,1
Netherlands,0.08,0.40547914932569457,desktop,0,0,194.6822502791448,22,1,0,1
United Kingdom,0.06,0.11457622107557197,desktop,0,1,76.27646353398023,22,0,1,0
France,0.07,0.2510514148606811,desktop,0,1,89.59208201614179,11,0,1,0
France,0.07,0.2005313591061476,desktop,1,0,84.08305906336139,17,0,1,1
Netherlands,0.08,0.30736929595551277,desktop,0,0,69.2992487020016,1,1,1,1
France,0.07,0.06817302448293214,mobile,0,0,48.959699457272215,13,0,1,0
Canada,0.05,0.14455515872189487,mobile,0,0,73.04906665375397,10,0,1,0
Australia,0.06,0.02739777767082885,mobile,0,0,95.83144092216367,6,0,1,0
Germany,0.05,0.13564493150354495,mobile,0,1,93.24732541380996,9,0,1,0
United Kingdom,0.06,0.18380517585939618,mobile,1,1,116.6694779083561,4,0,1,0
France,0.07,0.20353553371363317,mobile,0,0,121.07157215511394,12,0,1,0
Canada,0.05,0.0972433874375824,mobile,0,0,94.2139762277651,12,0,1,0
Germany,0.05,0.17154210548260174,mobile,0,0,78.69698479220739,2,0,1,0
Canada,0.05,0.3143852628586186,mobile,0,0,83.11508746343532,11,0,0,1
Canada,0.05,0.10093902668937473,mobile,0,0,60.27814067692289,7,0,1,0
Canada,0.05,0.05198999643388192,tablet,0,0,97.48971878842579,9,0,1,0
Canada,0.05,0.08954336196326375,desktop,0,0,117.13019610440176,21,0,1,0
Japan,0.05,0.22331780812411495,tablet,0,0,106.1199111906507,10,0,1,0
Germany,0.05,0.09560759421115882,desktop,0,0,89.5436436773733,15,0,1,0
Russia,0.6,0.19015024284730625,desktop,0,0,67.74638643737809,5,0,1,0
Brazil,0.2,0.14236505775037245,desktop,0,0,65.06649786165386,23,0,1,1
France,0.07,0.3146781007792227,mobile,0,0,69.69128726280873,10,0,1,0
Canada,0.05,0.17932033507662576,desktop,1,0,57.07929698718147,7,0,0,1
France,0.07,0.2674671855484798,desktop,0,0,81.13675209800437,0,0,1,0
Netherlands,0.08,0.4436335104684955,desktop,1,0,264.298508606859,20,1,0,1
Japan,0.05,0.06896387895394296,mobile,0,0,61.03356104933929,13,0,1,0
Netherlands,0.08,0.1528389099916854,desktop,0,0,75.4787259432326,3,0,1,1
France,0.07,0.19991184121002795,mobile,0,0,176.8991697207125,13,0,0,0
Australia,0.06,0.20539433379056332,mobile,0,0,73.81406013121504,6,0,1,0
Germany,0.05,0.15765562150082083,mobile,0,0,74.77223304252965,16,0,1,0
Japan,0.05,0.04179603855486876,mobile,0,0,55.051248233642504,4,0,1,0
United Kingdom,0.06,0.10998823596007835,desktop,0,0,134.5367820409244,17,0,1,0
Japan,0.05,0.26993770515587917,tablet,0,1,55.4406744513021,4,0,1,0
Netherlands,0.08,0.05981960376067723,mobile,0,0,150.1266819485258,16,0,1,0
United Kingdom,0.06,0.2634837336465002,desktop,0,0,56.88434637417181,6,0,1,0
